"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","107.50","108.75","110.50","106.40","0.61K","-3.24%"
"11/01/2025","111.10","109.40","111.50","108.40","0.67K","6.67%"
"10/01/2025","104.15","105.55","105.85","103.70","0.07K","-1.93%"
"09/01/2025","106.20","109.90","110.00","100.70","0.52K","-4.75%"
"08/01/2025","111.50","114.90","114.95","110.60","0.03K","-3.17%"
"07/01/2025","115.15","110.25","116.00","109.00","0.24K","4.78%"
"06/01/2025","109.90","105.50","111.00","104.00","0.42K","9.03%"
"05/01/2025","100.80","97.50","101.00","97.50","0.35K","3.38%"
"04/01/2025","97.50","102.65","102.65","93.25","0.41K","-5.34%"
"03/01/2025","103.00","99.00","105.00","96.40","0.29K","0.93%"
"02/01/2025","102.05","114.50","116.00","100.85","0.18K","-11.65%"
"01/01/2025","115.50","124.60","124.60","113.50","0.44K","-7.78%"
"12/01/2024","125.25","136.00","136.05","123.00","0.18K","-11.48%"
"11/01/2024","141.50","144.15","144.15","140.70","0.01K","-1.77%"
"10/01/2024","144.05","142.75","148.50","142.10","0.51K","-0.72%"
"09/01/2024","145.10","142.00","149.00","139.00","0.13K","-0.75%"
"08/01/2024","146.20","141.00","150.00","141.00","0.07K","4.35%"
"07/01/2024","140.10","135.00","140.50","133.00","0.29K","4.98%"
"06/01/2024","133.45","139.00","140.75","131.00","0.18K","-6.29%"
"05/01/2024","142.40","151.65","151.65","151.65","0.15K","0.11%"
"04/01/2024","142.25","127.00","136.75","127.00","0.35K","10.19%"
"03/01/2024","129.10","137.50","137.50","132.75","0.18K","-1.45%"
"02/01/2024","131.00","116.00","131.00","115.00","0.36K","12.45%"
"01/01/2024","116.50","132.00","134.50","116.00","0.63K","-20.42%"
"12/01/2023","146.40","135.00","146.00","135.00","0.26K","10.78%"
"11/01/2023","132.15","117.45","129.00","117.45","0.87K","9.12%"
"10/01/2023","121.10","155.00","155.00","123.50","0.36K","-24.36%"
"09/01/2023","160.10","160.50","160.50","160.50","0.31K","2.63%"
"08/01/2023","156.00","135.00","158.50","134.00","0.37K","13.62%"
"07/01/2023","137.30","145.00","145.00","131.00","0.32K","7.22%"
"06/01/2023","128.05","130.15","130.15","130.15","0.19K","-5.15%"
"05/01/2023","135.00","178.20","178.20","138.00","0.27K","-28.84%"
"04/01/2023","189.70","197.00","198.00","197.00","0.10K","7.02%"
"03/01/2023","177.25","192.00","192.00","173.00","0.18K","-8.09%"
"02/01/2023","192.85","245.00","265.00","195.00","0.37K","-23.40%"
"01/01/2023","251.75","396.00","400.00","262.00","0.90K","-37.71%"
"12/01/2022","404.15","385.00","405.00","385.00","0.25K","1.42%"
"11/01/2022","398.50","354.00","397.00","325.00","0.54K","11.84%"
"10/01/2022","356.30","399.00","405.00","355.50","0.41K","-17.85%"
"09/01/2022","433.70","430.00","440.00","430.00","0.14K","2.05%"
"08/01/2022","425.00","390.00","390.00","390.00","0.10K","4.19%"
"07/01/2022","407.90","411.00","432.00","399.00","0.07K","5.69%"
"06/01/2022","385.95","415.00","418.00","380.00","0.24K","-9.61%"
"05/01/2022","427.00","325.00","428.00","325.00","0.74K","30.74%"
"04/01/2022","326.60","296.00","333.00","285.00","0.65K","26.10%"
"03/01/2022","259.00","299.00","435.00","258.00","1.32K","-5.65%"
"02/01/2022","274.50","210.00","286.00","210.00","0.53K","23.23%"
"01/01/2022","222.75","172.00","226.00","171.00","1.86K","31.34%"
"12/01/2021","169.60","157.00","165.00","155.00","0.40K","11.58%"
"11/01/2021","152.00","155.00","170.00","139.00","0.79K","-31.98%"
"10/01/2021","223.45","228.00","247.00","228.00","0.49K","2.50%"
"09/01/2021","218.00","180.00","212.50","180.00","0.30K","25.11%"
"08/01/2021","174.25","152.75","172.25","152.25","0.63K","16.36%"
"07/01/2021","149.75","137.75","150.00","137.75","0.44K","11.17%"
"06/01/2021","134.70","119.00","132.50","119.00","0.35K","13.29%"
"05/01/2021","118.90","95.15","105.00","95.15","0.12K","27.44%"
"04/01/2021","93.30","97.00","97.25","93.00","0.72K","-3.06%"
"03/01/2021","96.25","84.50","96.25","84.50","0.55K","13.10%"
"02/01/2021","85.10","89.25","89.25","83.50","0.56K","-1.28%"
"01/01/2021","86.20","82.25","86.25","79.30","0.72K","7.08%"
"12/01/2020","80.50","70.05","84.50","70.05","0.58K","14.51%"
"11/01/2020","70.30","59.75","70.00","59.75","0.29K","20.79%"
"10/01/2020","58.20","58.25","58.25","54.35","0.62K","-0.68%"
"09/01/2020","58.60","51.50","58.75","48.40","0.50K","12.80%"
"08/01/2020","51.95","52.40","52.40","49.50","0.16K","0.00%"
"07/01/2020","51.95","51.60","53.25","51.40","0.46K","-0.38%"
"06/01/2020","52.15","55.50","56.00","51.80","0.59K","0.29%"
"05/01/2020","52.00","51.50","52.40","50.50","0.26K","-0.67%"
"04/01/2020","52.35","67.25","67.30","50.50","0.90K","-22.84%"
"03/01/2020","67.85","66.25","69.15","64.60","1.07K","0.67%"
"02/01/2020","67.40","69.00","69.75","68.30","0.52K","-1.61%"
"01/01/2020","68.50","67.50","72.35","67.20","0.83K","1.18%"
"12/01/2019","67.70","67.75","67.75","66.00","0.33K","-0.22%"
"11/01/2019","67.85","66.50","66.80","66.25","0.18K","1.42%"
"10/01/2019","66.90","68.00","68.00","65.25","0.72K","-4.50%"
"09/01/2019","70.05","65.25","68.30","65.25","0.78K","6.54%"
"08/01/2019","65.75","68.90","68.90","67.50","0.13K","-5.33%"
"07/01/2019","69.45","75.20","75.20","69.30","1.08K","-2.05%"
"06/01/2019","70.90","75.30","75.30","71.90","0.43K","-14.99%"
"05/01/2019","83.40","87.00","87.30","84.65","0.14K","-4.47%"
"04/01/2019","87.30","81.50","87.10","81.50","0.68K","-5.88%"
"03/01/2019","92.75","97.60","98.00","95.60","0.55K","-3.44%"
"02/01/2019","96.05","98.50","98.60","93.50","0.88K","-2.98%"
"01/01/2019","99.00","99.00","99.10","98.70","1.14K","-2.99%"